id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;REBELLE;PROMOTEUR;IMAGINEUR
base1;Ce que j'apprécie le plus chez moi, c'est ma capacité à :;Analyser les faits et organiser l'information logiquement;Être à l'écoute des autres et faire preuve de bienveillance;Agir selon mes convictions et mes principes moraux;Trouver des solutions créatives avec enthousiasme;Saisir les opportunités et m'adapter aux défis;Réfléchir calmement et imaginer des perspectives futures
base2;Dans mes relations, je recherche avant tout des personnes qui :;Échangent sur des sujets concrets et intellectuels;Sont chaleureuses, attentives et authentiques;Respectent mes valeurs et mes engagements;Sont spontanées, créatives et aiment s'amuser;Recherchent l'action et aiment prendre des risques;Respectent mon besoin de calme et de solitude
base3;Si je devais me décrire en un mot, je dirais que je suis :;Organisé(e);Attentionné(e);Loyal(e);Créatif(ve);Dynamique;Réfléchi(e)
base4;Quand une situation m'agace, j'ai tendance à :;M'isoler pour ne plus avoir à gérer le problème;Me sentir blessé(e) ou personnellement rejeté(e);Critiquer la position de l'autre car elle s'oppose à la mienne;Manifester mon mécontentement face à l'inefficacité des autres;Chercher le rapport de force pour reprendre le dessus;Me couper de mes émotions et devenir distant(e)
base5;Pour moi, une relation idéale repose sur :;La reconnaissance de mon travail et de mon sérieux;La chaleur humaine et l'attention portée à mon ressenti;Le partage de valeurs communes et la confiance mutuelle;La spontanéité et le plaisir de partager des moments fun;L'excitation de relever des défis ensemble;Le respect de mon espace personnel et de mon rythme
base6;Face à une difficulté majeure, mon réflexe est de :;Douter de la compétence de mon entourage;Me sentir délaissé(e) ou pas assez soutenu(e);Camper sur mes positions et mes convictions;Provoquer une réaction pour briser la monotonie;Réagir vivement, quitte à être revanchard(e);Prendre de la distance et me retirer intérieurement
base7;Dans la vie, je privilégie naturellement :;La logique et les faits;L'humain et les relations;Les principes et les valeurs;Le jeu et la créativité;L'action et les défis;Le calme et la réflexion
base8;Enfant, ce qui me caractérisait le plus était :;Mon envie d'apprendre et de comprendre comment les choses fonctionnent;Mon besoin de faire partie d'un groupe et de me sentir aimé(e);Le fait d'avoir des opinions fortes et des convictions déjà marquées;Mon côté joueur, créatif, qui s'ennuyait vite;Mon goût pour le risque et l'aventure;Mon tempérament calme, solitaire et imaginatif
base9;Au quotidien, j'utilise surtout :;Ma capacité à raisonner de manière claire et logique;Ma sensibilité et mon attention aux autres;Mes convictions et mon sens de l'engagement;Mon sens de l'humour et ma spontanéité;Mon instinct et ma capacité à aller droit au but;Ma faculté d'introspection et de réflexion globale
base10;Sous pression, quelle réaction vous ressemble le plus ?;Je veux tout contrôler pour ne faire aucune erreur;Je me sens coupable si je déçois mon entourage;Je deviens critique envers ceux qui ne partagent pas mes valeurs;Je rejette la faute sur les règles ou sur les autres;Je cherche à m'imposer pour garder le contrôle;Je me retire dans ma bulle et je deviens passif(ve)
energy11;Dans mon travail, j'ai tendance à :;Placer mes exigences de qualité très haut;Chercher l'approbation et le bien-être de tous;Vouloir prouver la valeur de mes principes;Essayer de bien faire, mais avec difficulté face à la routine;Vouloir diriger et mener l'action;Travailler mieux quand je suis seul(e) et au calme
energy12;On sait que je tiens à quelqu'un quand :;Je l'aide à s'organiser et à structurer ses projets;Je suis présent(e), doux(ce) et à son écoute;Je suis d'une loyauté absolue envers lui/elle;On s'amuse ensemble et qu'on partage des moments de jeu;Je le pousse à se dépasser et à réussir avec moi;Je respecte son silence et son besoin d'intimité
energy13;Mon cadre de vie idéal est :;Un espace ordonné propice aux échanges intellectuels;Un lieu convivial où l'on se sent accueilli et aimé;Un environnement sobre qui reflète mes convictions;Un endroit animé, original et plein de vie;Un lieu moderne axé sur la performance et le mouvement;Un refuge paisible pour laisser libre cours à mes pensées
energy14;Mes atouts majeurs sont :;Traiter les données complexes pour résoudre des problèmes;Créer de l'harmonie et prendre soin des autres;Rester intègre et fidèle à mes valeurs sous la pression;Apporter de la créativité et de la légèreté;Prendre des décisions rapides et faire bouger les choses;Mener à bien des tâches solitaires avec patience
energy15;Parfois, on me reproche d'être :;Trop focalisé(e) sur les détails et le travail;Trop sensible ou dépendant(e) affectivement;Trop rigide sur mes principes;Trop désinvolte ou imprévisible;Trop direct(e) ou manipulateur(trice);Trop distant(e) ou secret(ète)
energy16;Dans la gestion d'un projet, je préfère être :;Celui/celle qui définit la structure et le planning;Celui/celle qui s'occupe de la cohésion d'équipe;Celui/celle qui veille au respect des standards de qualité;Celui/celle qui apporte les idées les plus originales;Celui/celle qui gère les urgences et les défis;Celui/celle qui travaille en autonomie sur le fond
energy17;Pour me sentir motivé(e), j'ai besoin de :;Responsabilités claires et d'un cadre structuré;Sentir que je suis apprécié(e) et entouré(e);Sentir que ma mission a du sens et des valeurs;Stimulations constantes et de nouveauté;Sensations fortes et de résultats concrets;Calme absolu et de temps pour réfléchir
energy18;Le plus difficile pour moi est de gérer :;Le manque de logique et l'imprécision;Le manque d'empathie et la froideur;Le non-respect des règles éthiques;La routine et l'ennui;La lenteur et l'indécision;Le bruit et l'agitation permanente
energy19;Ma philosophie de vie pourrait être :;Chaque chose à sa place et une place pour chaque chose;Le bonheur est dans le partage et l'harmonie;Agir selon ses convictions profondes;Profiter du moment présent avec créativité;Être le meilleur et viser le sommet;Le calme est la plus grande des forces
energy20;Si j'étais un animal, je serais :;Un castor (travailleur et organisé);Une maman poule (protecteur et bienveillant);Un hibou (sage et fidèle à ses principes);Un chat (indépendant et joueur);Un lion (ambitieux et conquérant);Une tortue (paisible dans sa carapace)
phase21;S'il ne me restait qu'une seule force, je garderais :;Ma clarté d'esprit;Ma bienveillance;Ma force de conviction;Ma joie de vivre;Mon audace;Ma sérénité intérieure
phase22;Mon rêve le plus fou serait de :;Maîtriser toutes les connaissances de mon domaine;Vivre dans un monde où tout le monde s'apprécie;Voir mes valeurs partagées par le plus grand nombre;Avoir une liberté totale pour créer et m'amuser;Atteindre un succès financier et social immense;Disposer de tout le temps nécessaire pour contempler le monde
phase23;Une amitié s'arrête pour moi si :;Je ne peux plus compter sur le sérieux de l'autre;Je me sens ignoré(e) ou plus du tout aimé(e);Je réalise que nos valeurs sont incompatibles;Je me sens étouffé(e) par des règles trop strictes;Je sens que l'autre freine mon élan ou mes ambitions;Le contact devient trop envahissant et bruyant
phase24;Dans mes pires moments, je peux :;Devenir cassant(e) face à l'incompétence;Chercher désespérément l'approbation;Donner des leçons de morale aux autres;Provoquer des disputes pour tester les limites;Monter les gens les uns contre les autres;Me couper totalement du monde extérieur
phase25;Depuis toujours, je m'intéresse de près à :;La résolution d'énigmes et de problèmes complexes;La psychologie et les relations humaines;La politique, la philosophie ou l'éthique;Les arts, les jeux ou la culture alternative;La négociation, la finance ou les défis sportifs;La méditation, la lecture ou les voyages solitaires
phase26;À l'école, j'étais souvent perçu(e) comme :;L'élève sérieux(se) et méthodique;L'élève gentil(le) et serviable;L'élève engagé(e) et plein(e) de principes;L'élève original(e) et drôle;L'élève dynamique qui prend les devants;L'élève calme et rêveur(se)
phase27;Pour moi, le secret de la réussite est :;La planification, la logique et la persévérance;L'écoute, l'empathie et la collaboration;L'intégrité, le respect et les valeurs;La spontanéité, la créativité et le plaisir;L'ambition, l'action et la réactivité;La réflexion, le calme et l'indépendance
phase28;J'apprécie particulièrement un mentor qui :;Répond précisément à mes questions techniques;Se soucie sincèrement de mon évolution personnelle;Apprécie mes opinions et débat avec respect;Est inspirant, atypique et dynamique;Me donne carte blanche pour relever des défis;Me laisse de l'espace et du temps pour progresser seul(e)
phase29;J'ai tendance à faire confiance à un expert qui :;Démontre une parfaite maîtrise de son sujet;Est chaleureux et se préoccupe de ma situation;Affiche une éthique et une intégrité irréprochables;Rend l'échange vivant et original;Va droit au but et propose des gains rapides;Est discret, posé et propose une vision de long terme
phase30;Pour conclure, ce test est pour moi :;Une source de données utile pour mieux me comprendre;Un moment d'introspection humaine enrichissant;Une démarche importante pour valider mes engagements;Une expérience originale et plutôt fun à réaliser;Un outil efficace pour optimiser mes résultats;Une opportunité de réflexion paisible sur moi-même
